ID,Name,Age,Gender,Department,Salary,Joining Date,Performance Score,Experience,Status,Location,Session
1,Cory Escobar,48,Female,HR,5641,03/05/2015,2,16,Active,New York,Night
2,Timothy Sanchez,25,Other,Sales,4249,09/11/2020,2,11,Inactive,Los Angeles,Evening
3,Chad Nichols,57,Other,Sales,3058,12/02/2019,,1,Inactive,New York,Morning
4,Christine Williams,58,Female,IT,5895,08/09/2017,2,13,Inactive,Los Angeles,Evening
5,Amber Harris,35,Other,IT,4317,15/02/2020,5,16,Inactive,New York,Evening
6,Ashley Howe,29,Female,HR,2591,24/06/2016,1,6,Active,Chicago,Evening
7,David Olson,39,Female,Sales,6826,11/05/2023,,4,Active,New York,Night
8,Amanda Baker,52,Other,HR,6285,01/04/2015,,8,Inactive,Chicago,Evening
9,Jeremy Wright,63,Female,Sales,9862,07/02/2024,,3,Inactive,New York,Night
10,Brian Faulkner,30,Male,IT,8202,26/05/2018,1,9,Active,Los Angeles,Morning
11,Nicole Bell,42,Female,Sales,5336,28/01/2015,3,7,Active,Los Angeles,Evening
12,Rodney Richardson,60,Other,HR,6908,14/03/2015,4,19,Active,Chicago,Night
13,Joshua Robinson,61,Male,IT,5688,21/06/2020,,4,Inactive,Chicago,Night
14,Benjamin Callahan,34,Male,IT,5593,23/06/2019,,2,Inactive,Los Angeles,Night
15,Matthew Collins MD,31,Female,Sales,8568,01/06/2020,,20,Inactive,Los Angeles,Evening
16,Gary Cooley,62,Male,HR,5386,25/07/2017,,2,Inactive,Chicago,Morning
17,Jonathan Perez,59,Male,HR,6586,19/02/2019,3,7,Inactive,Los Angeles,Evening
18,Jacqueline Randall,31,Female,HR,3519,18/05/2018,4,6,Active,New York,Morning
19,Nancy Stephens,38,Male,HR,9061,16/07/2017,5,16,Inactive,Chicago,Night
20,Victoria Fox,57,Female,HR,7251,07/06/2023,,10,Active,Los Angeles,Evening
21,Heather Jones,35,Male,Sales,4565,07/02/2018,,9,Active,Chicago,Night
22,Stacie Porter,61,Female,HR,4071,04/05/2020,2,9,Inactive,Chicago,Night
23,Bryce Carter,35,Female,Sales,9598,16/12/2015,4,4,Inactive,New York,Night
24,Marissa Stewart,31,Female,HR,5386,30/01/2021,,3,Active,Los Angeles,Evening
25,Tracy Carlson,21,Male,HR,9275,09/04/2022,4,12,Active,New York,Morning
26,Tara Blackwell,30,Other,HR,6120,20/02/2020,5,7,Active,New York,Evening
27,Austin Long,20,Female,IT,4899,01/05/2024,5,8,Inactive,Chicago,Night
28,Jordan Warren,55,Female,HR,4608,07/07/2018,,18,Inactive,Los Angeles,Morning
29,Vickie Campbell,65,Female,IT,9190,28/10/2019,,12,Inactive,Chicago,Morning
30,Rachel Ramsey,22,Male,Sales,9661,18/08/2016,2,17,Inactive,Chicago,Night
31,Brandi Smith,21,Other,IT,4780,20/01/2020,1,7,Inactive,New York,Night
32,Jacqueline Becker,63,Other,Sales,4270,16/12/2021,,20,Inactive,Los Angeles,Morning
33,Trevor Duncan,65,Other,Sales,6547,10/06/2024,,10,Active,Chicago,Evening
34,Mr. Brian Nelson,42,Female,IT,5207,17/08/2017,1,4,Active,Los Angeles,Night
35,Lisa Fry,51,Female,IT,9259,26/09/2017,4,17,Inactive,Los Angeles,Night
36,Kevin Watts,35,Male,IT,9078,12/06/2019,1,7,Inactive,Los Angeles,Evening
37,Jacqueline Moore,39,Male,Sales,2364,25/02/2018,1,15,Active,Los Angeles,Evening
38,Lawrence Rose,18,Female,HR,2904,11/04/2021,1,17,Inactive,Chicago,Night
39,Jordan Scott,33,Other,Sales,8678,15/05/2016,5,9,Active,Los Angeles,Evening
40,Lisa Wagner,36,Male,HR,8870,12/08/2024,4,17,Active,Los Angeles,Evening
41,Ricky Keith,20,Female,Sales,6621,29/01/2024,,20,Inactive,Los Angeles,Evening
42,Charles Mccall,58,Other,IT,9512,10/11/2024,,8,Inactive,Los Angeles,Morning
43,April Ponce,27,Female,Sales,6655,22/10/2021,,2,Inactive,Los Angeles,Evening
44,Cindy Nichols,64,Female,IT,2427,19/12/2014,,6,Active,New York,Night
45,Daniel Aguirre,20,Other,IT,4184,03/10/2017,,13,Active,New York,Morning
46,Dr. Monica Hanna PhD,27,Other,HR,4356,31/10/2020,,11,Inactive,New York,Night
47,Alicia Scott,47,Female,HR,7966,03/09/2019,,8,Inactive,New York,Morning
48,Jake Johnson,48,Other,IT,5848,03/02/2017,3,2,Active,Los Angeles,Night
49,Jamie Wood,46,Male,Sales,2773,25/02/2023,4,9,Active,New York,Morning
50,Valerie Guerrero,23,Male,HR,6253,21/09/2023,4,14,Active,Los Angeles,Night
51,Jamie Gregory,27,Other,Sales,3253,07/12/2015,,12,Active,Chicago,Morning
52,Jesse Vincent,62,Male,HR,6149,17/09/2023,,11,Inactive,Chicago,Evening
53,Steve Salinas,42,Other,Sales,6567,26/03/2022,2,19,Inactive,Los Angeles,Morning
54,Taylor Griffin,62,Other,Sales,5721,07/01/2019,5,7,Active,Chicago,Night
55,Kim Smith,63,Other,HR,4533,11/10/2023,4,16,Active,Los Angeles,Night
56,Jonathon Adams,40,Female,IT,8745,29/07/2020,,12,Inactive,Chicago,Night
57,Jeremy Conway,38,Other,IT,4954,11/08/2024,,12,Active,Los Angeles,Night
58,Johnathan Obrien,58,Female,Sales,3635,09/04/2021,,7,Active,New York,Night
59,Erik Moss,57,Male,Sales,4651,07/02/2018,,19,Active,Los Angeles,Night
60,Melinda Tyler,19,Other,Sales,5937,12/04/2021,5,9,Inactive,Los Angeles,Evening
61,Andrew Shannon,51,Other,Sales,8544,08/02/2020,,6,Active,New York,Evening
62,Carmen Taylor,33,Male,Sales,2851,30/01/2023,2,11,Active,Chicago,Morning
63,Joseph Anderson,57,Female,IT,3933,02/06/2023,,6,Active,Los Angeles,Night
64,Katherine Clark,39,Female,IT,2585,17/02/2023,2,1,Active,Los Angeles,Evening
65,Mary Miller,20,Other,Sales,3718,19/10/2019,,4,Active,Los Angeles,Morning
66,Sarah Harrell,44,Male,IT,2436,01/01/2021,,5,Inactive,Chicago,Night
67,Kelli Lopez,25,Female,HR,7637,21/09/2021,,4,Active,Los Angeles,Night
68,Denise Smith,27,Male,HR,6921,31/10/2024,2,3,Active,Chicago,Evening
69,Alyssa Taylor,29,Male,HR,7554,19/10/2017,,17,Active,Chicago,Night
70,Erica James,64,Female,IT,2442,28/09/2020,,14,Inactive,Los Angeles,Morning
71,Daniel Hamilton,40,Male,Sales,2466,08/04/2018,,15,Active,Chicago,Evening
72,Tiffany Alexander,45,Female,Sales,3897,18/05/2019,4,12,Active,Chicago,Evening
73,Jennifer Carter,52,Male,HR,8386,06/04/2016,,14,Active,Chicago,Morning
74,Amanda Rodgers,60,Male,IT,3767,21/03/2018,3,3,Inactive,Los Angeles,Night
75,Francisco Jones,18,Female,Sales,8622,01/07/2023,1,13,Inactive,Chicago,Evening
76,Cameron Butler,31,Female,IT,8032,20/10/2023,4,11,Inactive,New York,Morning
77,Victor Nelson,47,Female,Sales,2025,14/05/2015,1,5,Active,New York,Night
78,Kathy Thompson,19,Other,HR,4698,23/02/2016,3,15,Inactive,Chicago,Night
79,Michele Schmidt,56,Male,HR,5457,22/05/2016,,11,Inactive,Chicago,Evening
80,Mary Singh,39,Other,IT,5562,06/07/2019,,7,Inactive,New York,Evening
81,Julia Stanley,28,Female,HR,2077,28/07/2021,,11,Inactive,Los Angeles,Morning
82,Kevin Price,62,Male,HR,4292,12/11/2020,2,7,Active,Los Angeles,Night
83,Jamie Wright,49,Other,Sales,3111,02/11/2020,,3,Active,Chicago,Evening
84,Elaine Payne,18,Female,IT,5470,23/06/2017,3,8,Active,Los Angeles,Evening
85,Justin Rodriguez,39,Other,Sales,3115,01/07/2020,4,4,Active,Chicago,Evening
86,Chase Taylor,29,Other,IT,9901,04/10/2017,2,7,Active,Los Angeles,Evening
87,Dustin Allen,34,Male,IT,8629,08/01/2015,,9,Inactive,Chicago,Morning
88,Lori Bowen,28,Female,Sales,6839,07/01/2023,,4,Active,Los Angeles,Evening
89,Jessica Sanders,41,Male,HR,6828,02/08/2024,1,10,Inactive,Chicago,Night
90,Lauren Lee,60,Female,Sales,8710,16/07/2020,2,10,Inactive,Los Angeles,Evening
91,Kyle Schwartz,31,Male,HR,3488,16/03/2023,1,3,Active,New York,Morning
92,Bruce Campbell,58,Other,IT,5271,20/12/2023,,7,Active,Chicago,Night
93,Peter Moore,38,Other,Sales,4897,13/03/2021,1,4,Inactive,Chicago,Morning
94,Elizabeth Gallagher,21,Female,IT,2860,06/02/2023,4,4,Active,Los Angeles,Night
95,Michael Garcia,62,Male,Sales,3482,29/01/2018,3,20,Active,New York,Night
96,Jeff Wilson,45,Other,HR,3427,08/06/2024,,8,Active,Chicago,Evening
97,Holly Gaines,22,Male,Sales,5432,14/01/2017,,14,Inactive,Los Angeles,Morning
98,Matthew Fields,33,Female,HR,2378,07/08/2015,,20,Inactive,Los Angeles,Night
99,Kathleen Thomas,20,Other,IT,6768,15/09/2018,,2,Inactive,Los Angeles,Night
